id;time_of_message;match_id;match_date;corner_sending
1;2020-10-27T06:34:22;2907;2020-10-27T15:46:34;false
2;2020-10-27T10:30:34;56337;2020-10-26T15:50:53;false
3;2020-10-27T15:42:30;8845;2020-10-27T11:24:18;true
4;2020-10-27T03:33:21;75060;2020-10-27T07:58:54;false
5;2020-10-26T16:52:24;23206;2020-10-26T19:59:58;false
6;2020-10-27T04:23:53;93221;2020-10-26T18:45:24;true
7;2020-10-26T18:39:06;37612;2020-10-27T13:30:59;true
8;2020-10-27T09:21:08;96639;2020-10-26T16:18:09;false
9;2020-10-26T21:53:10;21461;2020-10-26T17:12:35;false
10;2020-10-27T00:25:26;454;2020-10-27T04:53:48;true
